index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
19823,puhlte01,N,1531.0,4855.0,676.0,1361.0,226.0,56.0,62.0,435.0,217.0,99.0,505.0,507.0,49.0,26.0,57.0,36.0,59.0,195.0,74.0,L,R,1977-07-12,1991-05-29,None,0.0
20497,puckeki01,Y,1783.0,7244.0,1071.0,2304.0,414.0,57.0,207.0,1085.0,134.0,76.0,450.0,965.0,85.0,56.0,23.0,58.0,188.0,178.0,68.0,R,R,1984-05-08,1995-09-28,Roberto Clemente Award,10.0
38614,priddje01,N,1296.0,4720.0,612.0,1252.0,232.0,46.0,61.0,541.0,44.0,44.0,624.0,639.0,0.0,13.0,71.0,0.0,136.0,180.0,71.0,R,R,1941-04-17,1953-09-27,None,0
38599,preslji01,N,959.0,3546.0,413.0,875.0,181.0,14.0,135.0,495.0,9.0,14.0,210.0,859.0,18.0,19.0,12.0,31.0,104.0,200.0,73.0,R,R,1984-06-24,1991-06-07,None,0.0
38586,prattde01,N,1836.0,6826.0,856.0,1996.0,392.0,117.0,43.0,970.0,247.0,108.0,513.0,360.0,0.0,37.0,233.0,0.0,0.0,175.0,71.0,R,R,1912-04-11,1924-09-29,None,0
38581,pradoma01,N,1458.0,5373.0,664.0,1542.0,316.0,27.0,100.0,609.0,40.0,28.0,385.0,676.0,16.0,28.0,24.0,51.0,171.0,215.0,72.0,R,R,2006-04-23,2019-09-29,None,1.0
14413,powervi01,N,1627.0,6046.0,765.0,1716.0,290.0,49.0,126.0,658.0,45.0,35.0,279.0,247.0,26.0,15.0,73.0,48.0,145.0,186.0,72.0,R,R,1954-04-13,1965-10-03,Gold Glove,5.0
38566,powelra01,N,875.0,3324.0,467.0,890.0,117.0,67.0,35.0,276.0,51.0,56.0,321.0,461.0,0.0,19.0,64.0,0.0,0.0,160.0,69.0,L,R,1913-04-16,1924-09-28,None,0
17095,powelbo01,N,2042.0,6681.0,889.0,1776.0,270.0,11.0,339.0,1187.0,20.0,21.0,1001.0,1226.0,140.0,29.0,27.0,72.0,164.0,230.0,76.0,L,R,1961-09-26,1977-08-24,TSN All-Star,3.0
38532,postwa01,N,1204.0,4007.0,594.0,1064.0,194.0,28.0,210.0,699.0,19.0,13.0,331.0,813.0,28.0,20.0,10.0,29.0,93.0,190.0,73.0,R,R,1949-09-18,1964-05-09,None,0
38528,poseybu01,N,1371.0,4970.0,663.0,1500.0,293.0,9.0,158.0,729.0,23.0,9.0,540.0,721.0,67.0,43.0,1.0,53.0,163.0,213.0,73.0,R,R,2009-09-11,2021-10-03,Silver Slugger,5.0
23959,posadjo01,N,1829.0,6092.0,900.0,1664.0,379.0,10.0,275.0,1065.0,20.0,21.0,936.0,1453.0,78.0,74.0,1.0,47.0,186.0,215.0,74.0,B,R,1995-09-04,2011-09-28,TSN All-Star,5.0
18481,porteda02,N,1782.0,5539.0,765.0,1369.0,237.0,48.0,188.0,826.0,39.0,37.0,905.0,1025.0,106.0,45.0,18.0,63.0,102.0,193.0,72.0,L,R,1971-09-02,1987-10-04,World Series MVP,3.0
